Id,Name,Categories,Last_modified,Modified_by
5900486022204,Gouda – Pilos – 500 g,['Gouda'],1764700717,['OFF']
5901359074276,Kozel lezak 4x – Plzeňský Prazdroj,['Piwa'],1764700717,['OFF']
28067672,Szynka szwarcwaldzka – Tannenhof – 100 g,"['Produkty mięsne', 'Mięsa', 'Przetwory mięsne', 'Szynki']",1764700717,['OFF']
5900805000425,Paola Wykwintna Żurawina – Paola – 430 ml,['Syropy'],1764700717,['OFF']
8934680033428,Wafer roll vanila imp – Oreo – 3 x 18g,"['Przekąski', 'Słodkie przekąski', 'Ciastka', 'Wafelki', 'Wafelki nadziewane']",1764700717,['OFF']
5712871094457,Hazelnut and cocoa spread – Bellafonde – 400 g,"['Śniadania', 'Smarowidła', 'Słodkie smarowidła', 'Pasty z orzechów laskowych', 'Krem kakaowy']",1764700717,['OFF']
20858001,Butter Extra – Pilos Lidl,"['Nabiał', 'Oleje i tłuszcze', 'Smarowidła', 'Tłuszcze do smarowania', 'Tłuszcze zwierzęce', 'Tłuszcze mleczne', 'Pasty mleczne', 'Masła']",1764700717,['OFF']
5901537003142,Pizza głęboko mrożona z szynką i pieczarkami. – MaxTop Sławków – 640 g (2 x 320 g),"['Dania gotowe', 'Pizze', 'Mrożonki', 'Pizze mrożone']",1764700717,['OFF']
5907513027102,10 sztuk świeżych jaj,['Jajka'],1764700717,['OFF']
5902333000021,Sól warzona 1kg,['Sole'],1764700717,['OFF']
7622201720933,"Prince Polo XXL Solony Karmel – Mondelez,Mondelez International","['Przekąski', 'Słodkie przekąski', 'Batony', 'Batony czekoladowe']",1764700717,['OFF']
5902578004976,Pszenica Durum Z Miodem I Truskawkami – Soligrano – 150 g,['Płatki śniadaniowe'],1764700717,['OFF']
5908221108350,Łapsy bekon,['Chipsy'],1764700717,['OFF']
5902409703979,Tutti,['Jogurty'],1764700717,['OFF']
5900587043504,"Migdały – Bakallino, Orzechy – 500g",['Orzechy'],1764700717,['OFF']
5900334020475,Tiger energy drink o smaku mojito – Tiger – 250ml,"['Napoje i bazy do napojów', 'Napoje energetyczne']",1764700717,['OFF']
5905563491003,Fermented Napa Cabbage Kimchi – JONGGA – 300g,['Warzywa fermentowane'],1764700717,['OFF']
5901713000446,Koncentrat pomidorowy – Dawtona – 1000g,"['Produkty roślinne', 'Produkty na bazie owoców i warzyw', 'Produkty na bazie warzyw', 'Pomidory i produkty pochodne', 'Pasty pomidorowe']",1764700717,['OFF']
5901432002400,Serek Kanapkowy – Wart-Milk – 150г,['Sery'],1764700717,['OFF']
10011003,"Tortilla pszenna – Plony zbóż – 312,5g",['Tortille'],1764700717,['OFF']
4056489766230,Salad mix with iceberg lettuce – Ryneczek Lidla – 180 g,"['Produkty roślinne', 'Produkty na bazie warzyw i owoców', 'Produkty na bazie warzyw', 'Warzywa', 'Sałatki']",1764700717,['OFF']
6900541006537,Gyros sałatka z kurczakiem – Lisner – 140g,['Sałatki z kurczakiem'],1764700717,['OFF']
5903548001872,Mini batonik z nerkowcem – Dobra Kaloria – 6 x 18 g,"['Przekąski', 'Słodkie przekąski', 'Batony']",1764700717,['OFF']
4001686004753,Berry Clouds – Haribo,['Cukierki'],1764700717,['OFF']
4770299392259,Parmesan – Džiuga – 160g,['Sery'],1764700717,['OFF']
4335619006560,Parówki Z Kurczaka – Piratki – 2 x 80 g,['Kiełbaski z kurczaka'],1764700717,['OFF']
5901044032857,Majonez wegański – Roleski – 490g,"['Przyprawy', 'Sosy', 'Majonezy']",1764700717,['OFF']
4056489359173,"Zupa jarzynowa – Freshona,Lidl – 750 g",['Mrożonki'],1764700717,['OFF']
5900617047472,No milk – LOVEGE – 1 litr,['Mleka owsiane'],1764700717,['OFF']
5901330093821,Protein xplode,['Suplementy diety'],1764700717,['OFF']
5901749009406,Miód nektarowy lipowy – 400,['Miody'],1764700717,['OFF']
5908230849015,"Jajka L – Biedronka,Ovovita – 10 szt.",['Jajka'],1764700717,['OFF']
5906395666102,Jaja L – Ferma Drobiu Wachowiak – 10 szt.,['Jajka'],1764700717,['OFF']
5903263998556,Jajka M – Invest Michel MM – 10 szt.,['Jajka'],1764700717,['OFF']
5907480187076,Jajka – Ferma Drobiu Adaszak – 10 szt.,['Jajka'],1764700717,['OFF']
5902047140211,Natural energy drink – YABU – 250 ml,"['Napoje', 'Napoje energetyczne']",1764700717,['OFF']
7613036217583,"Majonez delikatny – Winiary,Nestlé – 300 ml","['Przyprawy', 'Sosy', 'Majonezy', 'Artykuły spożywcze']",1764700717,['OFF']
5908235955483,Jaja kurze L – Ovos – 10 szt.,['Jajka'],1764700717,['OFF']
